LiteratureID,ReferenceCount,AuthorCount,FundingAgencyCount
85060754264,61,2294,102
85060775236,25,9,4
85060846638,74,2294,101
85060943807,37,6,2
85061034562,27,6,0
85061059269,23,7,0
85061243115,51,7,1
85061267681,14,14,1
85061294002,15,3,0
85061393958,61,4,1
85061476553,33,2,4
85061479711,52,5,2
85061497116,47,2,1
85061626134,40,7,5
85061701704,23,3,6
85061773136,15,1,1
85061958954,41,7,0
85062041913,59,4,0
85062100230,16,2,0
85062102028,65,1,0
85062210634,17,4,6
85062223209,9,3,2
85062236418,9,3,2
85062349283,31,4,0
85062394550,36,2,1
85062421147,42,9,3
85062424032,21,2,0
85062527043,5,4,3
85062597017,68,2296,79
85062637315,14,1,0
85062645521,79,11,6
85062668194,9,2,2
85062726346,33,7,2
85062770754,11,2,1
85062870801,36,3,2
85062964364,22,3,1
85063019957,11,5,0
85063037528,35,12,1
85063150094,27,2,1
85063157870,133,3,5
85063265740,8,5,0
85063267754,59,2301,100
85063303409,56,4,0
85063326075,9,9,3
85063335719,81,24,6
85063401120,15,4,1
85063432536,22,15,4
85063490946,7,6,0
85063505074,24,2,0
85063509638,11,2,8
85063529752,21,6,3
85063576577,53,8,2
85063732788,31,3,0
85063776488,38,5,4
85063999587,21,2,0
85064047467,29,3,3
85064121799,48,10,2
85064203545,57,4,0
85064212558,43,3,2
85064249255,50,5,1
85064279579,6,4,0
85064352690,11,3,0
85064371460,38,2,0
85064394304,43,3,10
85064398210,52,2276,79
85064453983,19,2,0
85064523817,42,5,0
85064677022,22,4,4
85064847838,33,5,0
85064985698,49,12,10
85065071964,28,3,2
85065076191,33,4,1
85065082466,26,3,0
85065134466,47,2275,102
85065219635,55,4,2
85065258830,28,5,2
85065326785,23,3,1
85065388498,35,3,0
85065417151,31,5,5
85065428928,16,6,3
85065540486,99,1,0
85065556806,45,2275,78
85065557033,40,3,1
85065626297,39,3,2
85065706713,30,8,0
85065720311,41,7,0
85065733961,86,13,1
85065766616,3,2,0
