,WCSS
2,2722.059676601182
3,1757.2712342458444
4,1321.0481329642503
5,1038.8204746272859
6,471.07595676509186
7,354.00381620185425
8,339.2355475484618
9,313.41870149061106
10,261.96403395444986
11,224.4971574008958
