,LiteratureID,ReferenceCount,AuthorCount,FundingAgencyCount,Cluster,PCA1,PCA2
0,84994797918,36,2,0,4,-0.3739979028643409,-0.17375805680543416
1,85011891254,74,8,4,2,-0.009302171040284971,0.7723505269660789
2,85011915733,50,4,4,4,-0.11121606241919928,0.15721894239493223
3,85014229510,15,2,0,0,-0.4567762763534115,-0.7130849345155795
4,85019624049,166,7,8,3,0.5554596725349935,3.1074731358416066
5,85020257587,12,3,2,0,-0.3648036292208743,-0.8044187576345131
6,85021094125,36,6,9,4,0.09217992340826765,-0.237894876425486
7,85021899740,38,4,0,4,-0.3624592302649174,-0.12301458723897768
8,85022066424,35,4,0,4,-0.3742847121919275,-0.20006128405471274
9,85022071002,51,7,8,4,0.10214953199960707,0.15401642457176334
10,85027562644,62,4,0,4,-0.2678553748488367,0.4933589872869026
11,85028959204,47,4,1,4,-0.2759974744494677,0.10113718880096988
12,85029818459,14,7,0,0,-0.45158055870887276,-0.7403196542309082
13,85030635652,30,8,2,0,-0.28471319270527173,-0.34369106418352
14,85030846210,9,2,0,0,-0.48042724020743166,-0.8671783281470495
15,85030854232,44,2,1,4,-0.29147797435789463,0.024711486962601694
16,85031400722,20,5,4,0,-0.2276433726985917,-0.6135585232511016
17,85031933188,79,3,2,2,-0.10070119951764911,0.9162908045835696
18,85032225861,35,7,4,4,-0.16486094508212445,-0.2289460341497933
19,85032432882,38,4,2,4,-0.2604886101960785,-0.1369912160534928
20,85032691636,36,4,1,4,-0.3193575748485047,-0.1813673661900586
21,85032807137,24,1,0,0,-0.4231273395630897,-0.481634346579691
22,85034037558,22,2,3,0,-0.27622755508712965,-0.5542742518339704
23,85034268326,36,7,2,4,-0.26288973784195996,-0.18928717306336645
24,85034991318,58,3,3,4,-0.13249426297230024,0.3699756124661666
25,85035323661,26,6,0,0,-0.4061061399915409,-0.43182236947928476
26,85035335791,29,5,3,0,-0.24315223695198088,-0.375430118396639
27,85036494583,35,5,2,4,-0.27048658313238017,-0.21434841035791133
28,85037812126,26,12,2,0,-0.29317046597845153,-0.4476619832259005
29,85037999060,35,8,3,4,-0.2140187461258355,-0.22226821723121917
30,85038010058,53,4,1,4,-0.25234651059544755,0.25523058243243996
31,85038030583,44,6,3,4,-0.18219731832622205,0.00949286819335283
32,85038874301,67,4,2,2,-0.14617561823498101,0.6077935198319461
33,85039902334,38,10,4,4,-0.14755293618298912,-0.15283082980010854
34,85039984671,53,4,2,4,-0.20136120056102808,0.2482422680251824
35,85040165654,151,7,3,3,0.24140571272784592,2.757181223799219
36,85040185128,39,3,1,4,-0.309359601912203,-0.10401017188564016
37,85040729005,31,5,0,0,-0.3882245124372325,-0.3031007106310429
38,85040784668,32,4,0,0,-0.38611019411893754,-0.2771079808704478
39,85040789682,20,5,1,0,-0.38059930280185006,-0.5925935800293289
40,85040930764,59,2252,98,1,8.825119737709777,-0.9665408760004287
