toInteger(a1.id),toInteger(a2.id)
7004339510,7004514935
15137204300,7004514935
6602331011,7004514935
35345463900,7004514935
57218135578,7004514935
57201613707,7004514935
57076814100,7004514935
15137204300,7004514935
35345463900,7004514935
57201613707,7004514935
57076814100,7004514935
7004339510,7004514935
15137204300,7004514935
6602331011,7004514935
35345463900,7004514935
57076814100,7004514935
7004339510,7004514935
15137204300,7004514935
57218134332,7004514935
15137204300,7004514935
15137204300,7004514935
15137204300,7004514935
6507743189,7004514935
6507213756,7004514935
55932979400,7004514935
6507728111,7004514935
7004339510,7004514935
15137204300,7004514935
6602331011,7004514935
35345463900,7004514935
57076814100,7004514935
57204450016,7004514935
15137204300,7004514935
35345463900,7004514935
57076814100,7004514935
57222108574,7004514935
24781301000,7004514935
6507728111,7004514935
7004339510,7004514935
15137204300,7004514935
6602331011,7004514935
35345463900,7004514935
57076814100,7004514935
57204450016,7004514935
57222111622,7004514935
57222108574,7004514935
7004339510,7004514935
15137204300,7004514935
15137204300,7004514935
15137204300,7004514935
15137204300,7004514935
57220410754,7004514935
15137204300,7004514935
6602331011,7004514935
56121138200,7004514935
22934697400,7004514935
57202012378,7004514935
15137204300,7004514935
57201997476,7004514935
57220410754,7004514935
15137204300,7004514935
6602331011,7004514935
56121138200,7004514935
22934697400,7004514935
57220410754,7004514935
15137204300,7004514935
15137204300,7004514935
15137204300,7004514935
15137204300,7004514935
7004339510,7004514935
15137204300,7004514935
6602331011,7004514935
35345463900,7004514935
57076814100,7004514935
57204450016,7004514935
57204447313,7004514935
57201616668,7004514935
6506178519,7004514935
15137204300,7004514935
35345463900,7004514935
57076814100,7004514935
57204447313,7004514935
57201616668,7004514935
7004339510,7004514935
15137204300,7004514935
6602331011,7004514935
35345463900,7004514935
57076814100,7004514935
57204450016,7004514935
7004339510,7004514935
15137204300,7004514935
15137204300,7004514935
15137204300,7004514935
15137204300,7004514935
57217861256,7004514935
24587653600,7004514935
57211442977,7004514935
23987894400,7004514935
57221730249,7004514935
57221722614,7004514935
57204450016,7004514935
22934697400,7004514935
6603572528,7004514935
47561703800,7004514935
